Flight;Turn;Aircraft;Frequency;Passengers (8.12527e+06)
SBGOSBCF;SEG1;E190-E2;0;0
SBGOSBCF;SEG1;E195-E2;0;0
SBGOSBCF;SEG1;A220-100;0;0
SBGOSBCF;SEG1;A220-300;0;0
SBGOSBCF;SEG1;A319Neo;0;0
SBGOSBCF;SEG1;B737-M7;0;0
SBGOSBCF;SEG1;ATR-72;0;0
SBGOSBCF;SEG2;E190-E2;0;0
SBGOSBCF;SEG2;E195-E2;0;0
SBGOSBCF;SEG2;A220-100;0;0
SBGOSBCF;SEG2;A220-300;0;0
SBGOSBCF;SEG2;A319Neo;0;0
SBGOSBCF;SEG2;B737-M7;0;0
SBGOSBCF;SEG2;ATR-72;0;0
SBGOSBCF;SEG3;E190-E2;0;0
SBGOSBCF;SEG3;E195-E2;0;0
SBGOSBCF;SEG3;A220-100;0;0
SBGOSBCF;SEG3;A220-300;0;0
SBGOSBCF;SEG3;A319Neo;0;0
SBGOSBCF;SEG3;B737-M7;0;0
SBGOSBCF;SEG3;ATR-72;0;0
SBGOSBCF;SEG4;E190-E2;0;0
SBGOSBCF;SEG4;E195-E2;0;0
SBGOSBCF;SEG4;A220-100;0;0
SBGOSBCF;SEG4;A220-300;0;0
SBGOSBCF;SEG4;A319Neo;0;0
SBGOSBCF;SEG4;B737-M7;0;0
SBGOSBCF;SEG4;ATR-72;0;0
SBGOSBCF;TER1;E190-E2;0;0
SBGOSBCF;TER1;E195-E2;0;0
SBGOSBCF;TER1;A220-100;0;0
SBGOSBCF;TER1;A220-300;0;0
SBGOSBCF;TER1;A319Neo;0;0
SBGOSBCF;TER1;B737-M7;0;0
SBGOSBCF;TER1;ATR-72;0;0
SBGOSBCF;TER2;E190-E2;0;0
SBGOSBCF;TER2;E195-E2;0;0
SBGOSBCF;TER2;A220-100;0;0
SBGOSBCF;TER2;A220-300;0;0
SBGOSBCF;TER2;A319Neo;0;0
SBGOSBCF;TER2;B737-M7;0;0
SBGOSBCF;TER2;ATR-72;0;0
