OD;ORIGEM;DESTINO;PISTA;DEMANDA;DISTANCIA
SBGOSBAR;SBGO;SBAR;2200;79;1454.01
SBGOSBBE;SBGO;SBBE;2800;225;1697.14
SBGOSBBR;SBGO;SBBR;3200;283;163.05
SBGOSBCF;SBGO;SBCF;3000;932;647.42
SBGOSBCG;SBGO;SBCG;2600;175;715.13
SBGOSBCT;SBGO;SBCT;2218;570;989.87
SBGOSBCY;SBGO;SBCY;2300;606;744
SBGOSBEG;SBGO;SBEG;2700;165;1918.87
SBGOSBFI;SBGO;SBFI;2195;79;1136.47
SBGOSBFL;SBGO;SBFL;2300;286;1229.61
SBGOSBFZ;SBGO;SBFZ;2545;364;1845.58
SBGOSBGL;SBGO;SBGL;4000;724;928.98
SBGOSBGR;SBGO;SBGR;3700;2813;809.52
SBGOSBIL;SBGO;SBIL;1577;61;1109.38
SBGOSBIZ;SBGO;SBIZ;1798;53;1249.11
SBGOSBJP;SBGO;SBJP;2515;110;1875.89
SBGOSBJV;SBGO;SBJV;1640;59;1067.65
SBGOSBKP;SBGO;SBKP;3240;737;742.08
SBGOSBLO;SBGO;SBLO;2102;76;771.3
SBGOSBMA;SBGO;SBMA;2000;94;1252.31
SBGOSBMG;SBGO;SBMG;2100;52;815.25
SBGOSBMO;SBGO;SBMO;2602;190;1655.87
SBGOSBNF;SBGO;SBNF;1701;179;1141.17
SBGOSBPA;SBGO;SBPA;2280;691;1499.14
SBGOSBPJ;SBGO;SBPJ;2500;589;711.17
SBGOSBPS;SBGO;SBPS;2000;164;1081.94
SBGOSBPV;SBGO;SBPV;2400;98;1817.82
SBGOSBRB;SBGO;SBRB;2158;68;2154.47
SBGOSBRF;SBGO;SBRF;3007;405;1817.11
SBGOSBRJ;SBGO;SBRJ;1333;1219;943.26
SBGOSBRP;SBGO;SBRP;2100;338;523.81
SBGOSBSG;SBGO;SBSG;3000;205;1932.89
SBGOSBSL;SBGO;SBSL;2385;136;1654.08
SBGOSBSP;SBGO;SBSP;1940;2597;822.87
SBGOSBSV;SBGO;SBSV;3003;482;1242.96
SBGOSBTE;SBGO;SBTE;2200;106;1463.52
SBGOSBUL;SBGO;SBUL;2100;82;272.13
SBGOSBVT;SBGO;SBVT;1750;322;1025.45
SBGOSWGN;SBGO;SWGN;1804;136;1050.86
SBGOSWSI;SBGO;SWSI;1630;51;864.71
SBARSBGO;SBAR;SBGO;2200;79;1454.01
SBBESBGO;SBBE;SBGO;2800;225;1697.14
SBBRSBGO;SBBR;SBGO;3200;283;163.05
SBCFSBGO;SBCF;SBGO;3000;932;647.42
SBCGSBGO;SBCG;SBGO;2600;175;715.13
SBCTSBGO;SBCT;SBGO;2218;570;989.87
SBCYSBGO;SBCY;SBGO;2300;606;744
SBEGSBGO;SBEG;SBGO;2700;165;1918.87
SBFISBGO;SBFI;SBGO;2195;79;1136.47
SBFLSBGO;SBFL;SBGO;2300;286;1229.61
SBFZSBGO;SBFZ;SBGO;2545;364;1845.58
SBGLSBGO;SBGL;SBGO;4000;724;928.98
SBGRSBGO;SBGR;SBGO;3700;2813;809.52
SBILSBGO;SBIL;SBGO;1577;61;1109.38
SBIZSBGO;SBIZ;SBGO;1798;53;1249.11
SBJPSBGO;SBJP;SBGO;2515;110;1875.89
SBJVSBGO;SBJV;SBGO;1640;59;1067.65
SBKPSBGO;SBKP;SBGO;3240;737;742.08
SBLOSBGO;SBLO;SBGO;2102;76;771.3
