OD;ORIGEM;DESTINO;PISTA;TURNO;DEMANDA;DISTANCIA
SBGOSBGR;SBGO;SBGR;3700;SEG1;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG1;124;822.87
SBGOSBRJ;SBGO;SBRJ;1333;SEG1;87;943.26
SBGOSBCF;SBGO;SBCF;3000;SEG1;66;647.42
SBGOSBKP;SBGO;SBKP;3240;SEG1;105;742.08
SBGOSBGL;SBGO;SBGL;4000;SEG1;103;928.98
SBGOSBPA;SBGO;SBPA;2280;SEG1;98;1499.14
SBGOSBCY;SBGO;SBCY;2300;SEG1;86;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG1;84;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG1;81;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG2;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG2;124;822.87
SBGOSBRJ;SBGO;SBRJ;1333;SEG2;0;943.26
SBGOSBCF;SBGO;SBCF;3000;SEG2;0;647.42
SBGOSBKP;SBGO;SBKP;3240;SEG2;0;742.08
SBGOSBGL;SBGO;SBGL;4000;SEG2;0;928.98
SBGOSBPA;SBGO;SBPA;2280;SEG2;0;1499.14
SBGOSBCY;SBGO;SBCY;2300;SEG2;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG2;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG2;0;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG3;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG3;124;822.87
SBGOSBRJ;SBGO;SBRJ;1333;SEG3;87;943.26
SBGOSBCF;SBGO;SBCF;3000;SEG3;66;647.42
SBGOSBKP;SBGO;SBKP;3240;SEG3;0;742.08
SBGOSBGL;SBGO;SBGL;4000;SEG3;0;928.98
SBGOSBPA;SBGO;SBPA;2280;SEG3;0;1499.14
SBGOSBCY;SBGO;SBCY;2300;SEG3;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG3;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG3;0;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG4;0;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG4;0;822.87
SBGOSBRJ;SBGO;SBRJ;1333;SEG4;0;943.26
SBGOSBCF;SBGO;SBCF;3000;SEG4;0;647.42
SBGOSBKP;SBGO;SBKP;3240;SEG4;0;742.08
SBGOSBGL;SBGO;SBGL;4000;SEG4;0;928.98
SBGOSBPA;SBGO;SBPA;2280;SEG4;0;1499.14
SBGOSBCY;SBGO;SBCY;2300;SEG4;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG4;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG4;0;989.87
SBGOSBGR;SBGO;SBGR;3700;TER1;134;809.52
SBGOSBSP;SBGO;SBSP;1940;TER1;124;822.87
SBGOSBRJ;SBGO;SBRJ;1333;TER1;87;943.26
SBGOSBCF;SBGO;SBCF;3000;TER1;66;647.42
SBGOSBKP;SBGO;SBKP;3240;TER1;105;742.08
SBGOSBGL;SBGO;SBGL;4000;TER1;103;928.98
SBGOSBPA;SBGO;SBPA;2280;TER1;98;1499.14
SBGOSBCY;SBGO;SBCY;2300;TER1;86;744
SBGOSBPJ;SBGO;SBPJ;2500;TER1;84;711.17
SBGOSBCT;SBGO;SBCT;2218;TER1;81;989.87
SBGOSBGR;SBGO;SBGR;3700;TER2;134;809.52
SBGOSBSP;SBGO;SBSP;1940;TER2;124;822.87
SBGOSBRJ;SBGO;SBRJ;1333;TER2;0;943.26
SBGOSBCF;SBGO;SBCF;3000;TER2;0;647.42
SBGOSBKP;SBGO;SBKP;3240;TER2;0;742.08
SBGOSBGL;SBGO;SBGL;4000;TER2;0;928.98
SBGOSBPA;SBGO;SBPA;2280;TER2;0;1499.14
SBGOSBCY;SBGO;SBCY;2300;TER2;0;744
SBGOSBPJ;SBGO;SBPJ;2500;TER2;0;711.17
SBGOSBCT;SBGO;SBCT;2218;TER2;0;989.87
