Flight;Turn;Aircraft;Frequency;Passengers (332450);;FREQUÊNCIA DO AVIÃO E190-E2;;VOOS DE IDA E190-E2;;E190-E2;SBCF;50
SBGOSBCF;SEG1;E190-E2;0;0;;43;;56;;;SBCT;24
SBGOSBCF;SEG1;E195-E2;0;0;;;;;;;SBCY;39
SBGOSBCF;SEG1;A220-100;0;0;;;;;;;SBGL;19
SBGOSBCF;SEG1;A220-300;0;0;;;;;;;SBGR;57
SBGOSBCF;SEG1;A319Neo;0;0;;;;;;;SBKP;24
SBGOSBCF;SEG1;B737-M7;1;38;;;;;;;SBPA;25
SBGOSBCF;SEG1;ATR-72;1;1;;;;;;;SBPJ;26
SBGOSBCF;SEG2;E190-E2;0;0;;;;;;;SBRJ;51
SBGOSBCF;SEG2;E195-E2;0;0;;;;;;;SBSP;56
SBGOSBCF;SEG2;A220-100;0;0;;;;;;;;
SBGOSBCF;SEG2;A220-300;0;0;;;;;;;;
SBGOSBCF;SEG2;A319Neo;0;0;;;;;;;;
SBGOSBCF;SEG2;B737-M7;0;0;;;;;;;;
SBGOSBCF;SEG2;ATR-72;0;0;;;;;;;;
SBGOSBCF;SEG3;E190-E2;1;18;;;;;;;;
SBGOSBCF;SEG3;E195-E2;1;15;;;;;;;;
SBGOSBCF;SEG3;A220-100;1;26;;;;;;;;
SBGOSBCF;SEG3;A220-300;0;0;;;;;;;;
SBGOSBCF;SEG3;A319Neo;0;0;;;;;;;;
SBGOSBCF;SEG3;B737-M7;1;20;;;;;;;;
SBGOSBCF;SEG3;ATR-72;0;0;;;;;;;;
SBGOSBCF;SEG4;E190-E2;0;0;;;;;;;;
SBGOSBCF;SEG4;E195-E2;0;0;;;;;;;;
SBGOSBCF;SEG4;A220-100;0;0;;;;;;;;
SBGOSBCF;SEG4;A220-300;0;0;;;;;;;;
SBGOSBCF;SEG4;A319Neo;0;0;;;;;;;;
SBGOSBCF;SEG4;B737-M7;0;0;;;;;;;;
SBGOSBCF;SEG4;ATR-72;0;0;;;;;;;;
SBGOSBCF;TER1;E190-E2;0;0;;;;;;;;
SBGOSBCF;TER1;E195-E2;1;21;;;;;;;;
SBGOSBCF;TER1;A220-100;0;0;;;;;;;;
SBGOSBCF;TER1;A220-300;0;0;;;;;;;;
SBGOSBCF;TER1;A319Neo;1;31;;;;;;;;
SBGOSBCF;TER1;B737-M7;0;0;;;;;;;;
SBGOSBCF;TER1;ATR-72;1;42;;;;;;;;
SBGOSBCF;TER2;E190-E2;0;0;;;;;;;;
SBGOSBCF;TER2;E195-E2;0;0;;;;;;;;
SBGOSBCF;TER2;A220-100;0;0;;;;;;;;
SBGOSBCF;TER2;A220-300;0;0;;;;;;;;
SBGOSBCF;TER2;A319Neo;0;0;;;;;;;;
SBGOSBCF;TER2;B737-M7;0;0;;;;;;;;
SBGOSBCF;TER2;ATR-72;0;0;;;;;;;;
SBGOSBCF;TER3;E190-E2;0;0;;;;;;;;
SBGOSBCF;TER3;E195-E2;1;44;;;;;;;;
SBGOSBCF;TER3;A220-100;1;23;;;;;;;;
SBGOSBCF;TER3;A220-300;0;0;;;;;;;;
SBGOSBCF;TER3;A319Neo;1;8;;;;;;;;
SBGOSBCF;TER3;B737-M7;1;6;;;;;;;;
SBGOSBCF;TER3;ATR-72;0;0;;;;;;;;
SBGOSBCF;TER4;E190-E2;0;0;;;;;;;;
SBGOSBCF;TER4;E195-E2;0;0;;;;;;;;
SBGOSBCF;TER4;A220-100;0;0;;;;;;;;
SBGOSBCF;TER4;A220-300;0;0;;;;;;;;
SBGOSBCF;TER4;A319Neo;0;0;;;;;;;;
SBGOSBCF;TER4;B737-M7;0;0;;;;;;;;
SBGOSBCF;TER4;ATR-72;0;0;;;;;;;;
SBGOSBCF;QUA1;E190-E2;1;38;;;;;;;;
SBGOSBCF;QUA1;E195-E2;1;12;;;;;;;;
SBGOSBCF;QUA1;A220-100;1;31;;;;;;;;
SBGOSBCF;QUA1;A220-300;0;0;;;;;;;;
SBGOSBCF;QUA1;A319Neo;1;36;;;;;;;;
SBGOSBCF;QUA1;B737-M7;1;36;;;;;;;;
SBGOSBCF;QUA1;ATR-72;1;19;;;;;;;;
SBGOSBCF;QUA2;E190-E2;0;0;;;;;;;;
SBGOSBCF;QUA2;E195-E2;0;0;;;;;;;;
SBGOSBCF;QUA2;A220-100;0;0;;;;;;;;
SBGOSBCF;QUA2;A220-300;0;0;;;;;;;;
SBGOSBCF;QUA2;A319Neo;0;0;;;;;;;;
SBGOSBCF;QUA2;B737-M7;0;0;;;;;;;;
SBGOSBCF;QUA2;ATR-72;0;0;;;;;;;;
SBGOSBCF;QUA3;E190-E2;1;31;;;;;;;;
SBGOSBCF;QUA3;E195-E2;0;0;;;;;;;;
SBGOSBCF;QUA3;A220-100;0;0;;;;;;;;
SBGOSBCF;QUA3;A220-300;0;0;;;;;;;;
SBGOSBCF;QUA3;A319Neo;1;22;;;;;;;;
SBGOSBCF;QUA3;B737-M7;0;0;;;;;;;;
SBGOSBCF;QUA3;ATR-72;1;35;;;;;;;;
SBGOSBCF;QUA4;E190-E2;0;0;;;;;;;;
SBGOSBCF;QUA4;E195-E2;0;0;;;;;;;;
SBGOSBCF;QUA4;A220-100;0;0;;;;;;;;
SBGOSBCF;QUA4;A220-300;0;0;;;;;;;;
SBGOSBCF;QUA4;A319Neo;0;0;;;;;;;;
SBGOSBCF;QUA4;B737-M7;0;0;;;;;;;;
SBGOSBCF;QUA4;ATR-72;0;0;;;;;;;;
SBGOSBCF;QUI1;E190-E2;0;0;;;;;;;;
SBGOSBCF;QUI1;E195-E2;0;0;;;;;;;;
SBGOSBCF;QUI1;A220-100;1;114;;;;;;;;
SBGOSBCF;QUI1;A220-300;0;0;;;;;;;;
SBGOSBCF;QUI1;A319Neo;0;0;;;;;;;;
SBGOSBCF;QUI1;B737-M7;1;8;;;;;;;;
SBGOSBCF;QUI1;ATR-72;1;41;;;;;;;;
SBGOSBCF;QUI2;E190-E2;0;0;;;;;;;;
SBGOSBCF;QUI2;E195-E2;0;0;;;;;;;;
SBGOSBCF;QUI2;A220-100;0;0;;;;;;;;
SBGOSBCF;QUI2;A220-300;0;0;;;;;;;;
SBGOSBCF;QUI2;A319Neo;0;0;;;;;;;;
SBGOSBCF;QUI2;B737-M7;0;0;;;;;;;;
SBGOSBCF;QUI2;ATR-72;0;0;;;;;;;;
SBGOSBCF;QUI3;E190-E2;0;0;;;;;;;;
SBGOSBCF;QUI3;E195-E2;1;39;;;;;;;;
SBGOSBCF;QUI3;A220-100;1;49;;;;;;;;
SBGOSBCF;QUI3;A220-300;0;0;;;;;;;;
