Flight;Turn;Aircraft;Frequency;Passengers (6.80064e+06)
SBGOSBCF;SEG1;A220-300;1;66
SBGOSBCT;SEG1;E190-E2;1;81
SBGOSBCY;SEG1;E190-E2;1;86
SBGOSBGL;SEG1;E190-E2;1;103
SBGOSBGR;SEG1;B737-M7;1;134
SBGOSBKP;SEG1;E190-E2;1;105
SBGOSBPJ;SEG1;A220-100;1;84
SBGOSBRJ;SEG1;E190-E2;1;87
SBGOSBSP;SEG1;A220-100;1;115
SBGOSBGR;SEG2;A220-100;1;115
SBGOSBSP;SEG2;A220-100;1;115
SBSPSBGO;SEG2;A220-100;1;115
SBGOSBCF;SEG3;ATR-72;1;66
SBGOSBGR;SEG3;E190-E2;1;106
SBGOSBRJ;SEG3;E190-E2;1;87
SBGOSBSP;SEG3;A220-100;1;115
SBCFSBGO;SEG3;A220-300;1;66
SBCYSBGO;SEG3;E190-E2;1;86
SBGLSBGO;SEG3;A220-100;1;103
SBGRSBGO;SEG3;B737-M7;1;134
SBRJSBGO;SEG3;E190-E2;1;87
SBGOSBCF;TER1;B737-M7;1;66
SBGOSBCT;TER1;E190-E2;1;81
SBGOSBCY;TER1;B737-M7;1;86
SBGOSBGL;TER1;E190-E2;1;103
SBGOSBGR;TER1;A220-100;1;115
SBGOSBKP;TER1;E190-E2;1;105
SBGOSBPA;TER1;A220-100;1;98
SBGOSBPA;TER1;E190-E2;1;98
SBGOSBPJ;TER1;E190-E2;1;84
SBGOSBRJ;TER1;E190-E2;1;87
SBGOSBSP;TER1;A220-100;1;115
SBCFSBGO;TER1;E190-E2;1;66
SBGRSBGO;TER1;E190-E2;1;106
SBRJSBGO;TER1;E190-E2;1;87
SBSPSBGO;TER1;A319Neo;1;124
SBGOSBGR;TER2;A220-100;1;115
SBGOSBSP;TER2;E190-E2;1;106
SBGRSBGO;TER2;A220-100;1;115
SBSPSBGO;TER2;A220-100;1;115
SBGOSBCF;TER3;ATR-72;1;66
SBGOSBGR;TER3;A220-100;1;115
SBGOSBRJ;TER3;E190-E2;1;87
SBCFSBGO;TER3;ATR-72;1;66
SBCTSBGO;TER3;E190-E2;1;81
SBCYSBGO;TER3;B737-M7;1;86
SBGLSBGO;TER3;E190-E2;1;103
SBGRSBGO;TER3;A220-100;1;115
SBKPSBGO;TER3;A220-100;1;105
SBPASBGO;TER3;E190-E2;1;98
SBPJSBGO;TER3;A220-100;1;84
SBRJSBGO;TER3;A220-100;1;87
SBSPSBGO;TER3;E195-E2;1;124
SBGOSBCF;QUA1;ATR-72;1;66
