Flight;Turn;Aircraft;Frequency;Passengers (6.88147e+06)
SBGOSBCF;SEG1;E190-E2;1;66
SBGOSBCT;SEG1;E190-E2;1;81
SBGOSBCY;SEG1;E190-E2;1;86
SBGOSBGL;SEG1;A220-100;1;103
SBGOSBGR;SEG1;A220-100;1;115
SBGOSBKP;SEG1;E190-E2;1;105
SBGOSBPA;SEG1;A220-100;1;98
SBGOSBPJ;SEG1;E190-E2;1;84
SBGOSBRJ;SEG1;E190-E2;1;87
SBGOSBSP;SEG1;A220-100;1;115
SBCFSBGO;SEG1;E190-E2;1;66
SBGOSBGR;SEG2;A220-100;1;115
SBGOSBSP;SEG2;E195-E2;1;124
SBGRSBGO;SEG2;A220-100;1;115
SBGOSBCF;SEG3;A220-100;1;66
SBGOSBGR;SEG3;A220-100;1;115
SBGOSBRJ;SEG3;A220-100;1;87
SBGOSBSP;SEG3;A220-300;1;124
SBCFSBGO;SEG3;E190-E2;1;66
SBCTSBGO;SEG3;E190-E2;1;81
SBGRSBGO;SEG3;A220-100;1;115
SBPASBGO;SEG3;A220-100;1;98
SBRJSBGO;SEG3;E190-E2;1;87
SBSPSBGO;SEG3;A220-100;1;115
SBGOSBCF;TER1;A220-100;1;66
SBGOSBCT;TER1;A220-100;1;81
SBGOSBCY;TER1;E190-E2;1;86
SBGOSBGR;TER1;B737-M7;1;134
SBGOSBKP;TER1;A220-100;1;105
SBGOSBPA;TER1;E190-E2;1;98
SBGOSBPJ;TER1;E190-E2;1;84
SBGOSBRJ;TER1;E190-E2;1;87
SBGOSBSP;TER1;A220-100;1;115
SBGRSBGO;TER1;E190-E2;1;106
SBRJSBGO;TER1;A220-100;1;87
SBSPSBGO;TER1;E195-E2;1;124
SBGOSBGR;TER2;E190-E2;1;106
SBGOSBSP;TER2;A220-100;1;115
SBGRSBGO;TER2;A220-100;1;115
SBGOSBCF;TER3;E190-E2;1;66
SBGOSBGR;TER3;A220-100;1;115
SBGOSBRJ;TER3;E190-E2;1;87
SBGOSBSP;TER3;A220-100;1;115
SBCTSBGO;TER3;A220-100;1;81
SBCYSBGO;TER3;E190-E2;1;86
SBGLSBGO;TER3;A220-100;1;103
SBGRSBGO;TER3;B737-M7;1;134
SBKPSBGO;TER3;A220-100;1;105
SBPASBGO;TER3;A220-100;1;98
SBPJSBGO;TER3;A220-100;1;84
SBRJSBGO;TER3;E190-E2;1;87
SBSPSBGO;TER3;A220-100;1;115
